Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,3.280000,3.290000,3.180000,3.210000,3.210000,3048900
2020-08-06,3.200000,3.220000,3.080000,3.150000,3.150000,3301800
2020-08-07,3.110000,3.120000,3.020000,3.070000,3.070000,2685900
2020-08-10,3.030000,3.090000,2.900000,3.070000,3.070000,3898100
2020-08-11,3.040000,3.050000,2.710000,2.800000,2.800000,4534300
2020-08-12,2.850000,2.910000,2.700000,2.740000,2.740000,3096900
2020-08-13,2.720000,2.780000,2.530000,2.630000,2.630000,3726000
2020-08-14,2.660000,2.750000,2.560000,2.730000,2.730000,2600300
2020-08-17,2.720000,3.040000,2.660000,2.980000,2.980000,9096600
2020-08-18,2.910000,2.940000,2.710000,2.840000,2.840000,3346900
2020-08-19,2.810000,2.820000,2.700000,2.720000,2.720000,2102700
2020-08-20,2.700000,2.750000,2.590000,2.630000,2.630000,2360500
2020-08-21,2.630000,2.670000,2.580000,2.600000,2.600000,2182200
2020-08-24,2.870000,2.900000,2.630000,2.830000,2.830000,6434700
2020-08-25,2.830000,3.080000,2.650000,3.010000,3.010000,8151500
2020-08-26,3.180000,3.300000,3.010000,3.070000,3.070000,24462700
2020-08-27,3.070000,3.080000,2.700000,2.890000,2.890000,8967900
2020-08-28,2.800000,2.900000,2.750000,2.800000,2.800000,2845800
2020-08-31,2.750000,2.950000,2.690000,2.820000,2.820000,6921800
2020-09-01,2.740000,2.770000,2.650000,2.700000,2.700000,4172600
2020-09-02,2.710000,2.720000,2.500000,2.650000,2.650000,4052000
2020-09-03,2.550000,2.950000,2.520000,2.670000,2.670000,11346000
2020-09-04,2.640000,2.651000,2.350000,2.640000,2.640000,4238012
