Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,16.170000,16.830000,14.770000,15.090000,15.090000,6996100
2020-08-06,15.150000,15.190000,13.760000,13.920000,13.920000,5166400
2020-08-07,14.640000,14.980000,14.340000,14.860000,14.860000,4302100
2020-08-10,15.000000,15.090000,14.100000,14.480000,14.480000,2583200
2020-08-11,14.120000,14.410000,13.720000,13.950000,13.950000,2618600
2020-08-12,14.450000,14.800000,14.130000,14.660000,14.660000,3153700
2020-08-13,14.700000,15.110000,14.170000,15.010000,15.010000,2746200
2020-08-14,15.060000,15.100000,14.710000,14.790000,14.790000,1249600
2020-08-17,14.950000,15.170000,14.590000,14.990000,14.990000,2174700
2020-08-18,15.040000,15.170000,14.650000,14.980000,14.980000,1566000
2020-08-19,14.850000,15.040000,14.540000,14.850000,14.850000,1428700
2020-08-20,14.780000,15.530000,14.700000,15.450000,15.450000,1909000
2020-08-21,15.310000,15.470000,14.710000,14.750000,14.750000,1967000
2020-08-24,14.880000,14.910000,13.900000,14.180000,14.180000,3220000
2020-08-25,14.280000,14.550000,13.920000,14.510000,14.510000,2941800
2020-08-26,14.600000,14.950000,14.450000,14.670000,14.670000,1468000
2020-08-27,14.800000,14.940000,14.530000,14.730000,14.730000,1610600
2020-08-28,14.650000,15.330000,14.640000,15.050000,15.050000,2080200
2020-08-31,15.180000,15.330000,14.820000,15.230000,15.230000,2289700
2020-09-01,15.400000,16.320000,15.260000,15.290000,15.290000,3751200
2020-09-02,15.330000,15.540000,14.160000,15.480000,15.480000,2765100
2020-09-03,15.240000,15.290000,14.340000,14.630000,14.630000,1904100
2020-09-04,14.430000,14.650000,13.090000,13.950000,13.950000,2431181
